epoch;time;train/box_loss;train/cls_loss;train/dfl_loss;metrics/precision(B);metrics/recall(B);metrics/mAP50(B);metrics/mAP50-95(B);val/box_loss;val/cls_loss;val/dfl_loss;lr/pg0;lr/pg1;lr/pg2
41;2048.34;ÿםג.79;1.05865;1.03626;0.79282;0.39932;0.45007;0.25887;1.57515;1.70289;1.64103;0.000459045;0.000459045;0.000459045
42;2097.21;1.33787;1.04765;1.03648;0.61621;0.43529;0.48157;0.27483;1.53844;ÿםג.76;1.62712;0.000447796;0.000447796;0.000447796
43;2144.66;1.37221;1.08365;1.03687;0.81319;0.43404;0.46301;0.2958;1.51365;1.38338;1.62065;0.000436547;0.000436547;0.000436547
44;2195.86;1.34442;1.04129;1.03239;0.78972;0.39834;0.47622;0.28879;1.62009;1.56648;1.66875;0.000425298;0.000425298;0.000425298
45;2245.14;1.34433;1.05146;1.04224;0.73921;0.42664;0.44856;0.29876;1.49125;1.44298;1.61783;0.000414049;0.000414049;0.000414049
46;2291.72;1.32623;1.0345;1.02471;0.50502;0.47472;0.45514;0.2745;1.62523;1.41849;1.72346;0.000402801;0.000402801;0.000402801
47;2346.7;ÿםג.14;1.0304;1.01729;0.43609;0.48466;0.45601;0.27338;1.62519;1.40542;1.74058;0.000391552;0.000391552;0.000391552
48;2393.31;1.30842;1.01331;1.02653;0.73661;0.46596;0.47107;0.28303;1.54897;1.34877;1.68486;0.000380303;0.000380303;0.000380303
49;2441.33;1.31714;1.01293;1.02961;0.80541;0.44208;0.46513;0.26196;1.55233;1.50114;1.65071;0.000369054;0.000369054;0.000369054
50;2490.96;1.30299;0.97993;1.00847;0.81438;0.41878;0.4761;0.29436;1.49472;1.42285;1.63341;0.000357805;0.000357805;0.000357805
51;2543.64;1.27195;0.97227;1.00961;0.7017;0.43179;0.45256;0.27543;1.62732;ÿםג.83;1.67787;0.000346556;0.000346556;0.000346556
52;2591.33;ÿםג.36;0.95799;1.00886;0.46221;0.47755;0.46351;0.28357;1.54693;1.44131;1.68279;0.000335307;0.000335307;0.000335307
53;2641.63;1.26529;0.96283;1.00003;0.49613;0.46886;0.44615;0.27914;1.55171;1.56312;1.66211;0.000324058;0.000324058;0.000324058
54;2695.29;1.276;0.9737;1.00665;0.70536;0.48085;0.47693;0.2878;1.65247;1.42614;1.72379;0.00031281;0.00031281;0.00031281
